n	eps	x_max	gamma_n
100	0.	63	237
100	1.e-6	63	237
100	0.0001	63	237
100	0.001	63	237
100	0.01	63	237
100	0.03	63	237
100	0.1	26	237
200	0.	63	396
200	1.e-6	63	396
200	0.0001	63	396
200	0.001	63	396
200	0.01	63	396
200	0.03	47	396
200	0.1	31	396
400	0.	98	680
400	1.e-6	98	680
400	0.0001	98	680
400	0.001	98	680
400	0.01	98	680
400	0.03	83	680
400	0.1	53	680
800	0.	149	1184
800	1.e-6	149	1184
800	0.0001	149	1184
800	0.001	149	1184
800	0.01	149	1184
800	0.03	137	1184
800	0.1	57	1184
1200	0.	197	1648
1200	1.e-6	197	1648
1200	0.0001	197	1648
1200	0.001	197	1648
1200	0.01	197	1648
1200	0.03	193	1648
1200	0.1	63	1648
