variant	iter	X_known	n_known	gamma_n	X_exactzeros	eps_fwd
B (plain, eps~0.05)	1.	31.	96.	229.	31.	0.050251226381902825
B (plain, eps~0.05)	2.	63.	154.	325.	63.	0.04223034841777462
B (plain, eps~0.05)	3.	63.	247.	467.	41.	0.05529145164257443
B (plain, eps~0.05)	4.	63.	396.	674.	59.	0.05061702255102318
B (plain, eps~0.05)	5.	63.	634.	981.	124.	0.034190478137190894
B (plain, eps~0.05)	6.	63.	1015.	1437.	125.	0.07244518287882329
B (plain, eps~0.05)	7.	83.	1200.	1648.	127.	0.03281476237327752
W (Weil-modelled, eps~0.005)	1.	31.	96.	229.	31.	0.00502512263818744
W (Weil-modelled, eps~0.005)	2.	63.	154.	325.	63.	0.004223034841714934
W (Weil-modelled, eps~0.005)	3.	63.	247.	467.	41.	0.0055291451642176526
W (Weil-modelled, eps~0.005)	4.	63.	396.	674.	59.	0.005061702255034106
W (Weil-modelled, eps~0.005)	5.	124.	634.	981.	124.	0.003608868959759093
W (Weil-modelled, eps~0.005)	6.	125.	1015.	1437.	125.	0.0061488165487162405
W (Weil-modelled, eps~0.005)	7.	127.	1200.	1648.	127.	0.004337235039542975
