n	gamma_n	X	eps_fwd
100	236.5242296658162	20	0.018211773379903207
100	236.5242296658162	50	0.06552425953890406
100	236.5242296658162	100	0.021241535603849115
100	236.5242296658162	200	0.03262038046202065
100	236.5242296658162	400	0.020670126249910936
200	396.3818542225922	20	0.06899450654702832
200	396.3818542225922	50	0.11839595930177893
200	396.3818542225922	100	0.07689506731105666
200	396.3818542225922	200	0.02695794185660816
200	396.3818542225922	400	0.034677904273280546
400	679.7421978825282	20	0.03082878417910706
400	679.7421978825282	50	0.011876542112531752
400	679.7421978825282	100	0.04978408135650625
400	679.7421978825282	200	0.02679202086414989
400	679.7421978825282	400	0.024039052995817656
800	1183.7127752959743	20	0.11283120094344667
800	1183.7127752959743	50	0.06923896053217504
800	1183.7127752959743	100	0.01746245794697643
800	1183.7127752959743	200	0.025098796507109
800	1183.7127752959743	400	0.024620872994319143
1200	1648.2705982225316	20	0.06717744384286561
1200	1648.2705982225316	50	0.10337780628606197
1200	1648.2705982225316	100	0.1338609323674973
1200	1648.2705982225316	200	0.02891376465186113
1200	1648.2705982225316	400	0.04851634846500019
