"re_z"	"im_z"	"re_E1"	"im_E1"
0.01	-5	0.18812089744846813	0.02030249052702222
0.01	-1	-0.32905825943343187	0.6192955453821305
0.01	-0.1	1.7328516806460161	1.371681135820789
0.01	0.1	1.7328516806460161	-1.371681135820789
0.01	1	-0.32905825943343187	-0.6192955453821305
0.01	5	0.18812089744846813	-0.02030249052702222
0.1	-5	0.1717283019961927	0.01564640912899813
0.1	-1	-0.26010170533010946	0.5695450114728333
0.1	-0.1	1.4786888267236133	0.690287117123823
0.1	0.1	1.4786888267236133	-0.690287117123823
0.1	1	-0.26010170533010946	-0.5695450114728333
0.1	5	0.1717283019961927	-0.01564640912899813
0.5	-5	0.11376901828747887	0.0020514660406668905
0.5	-1	-0.07139471104245268	0.3574937736521626
0.5	-0.1	0.5419666179101915	0.11874004792008513
0.5	0.1	0.5419666179101915	-0.11874004792008513
0.5	1	-0.07139471104245268	-0.3574937736521626
0.5	5	0.11376901828747887	-0.0020514660406668905
1	-5	0.06705664944219385	-0.004675021260887586
1	-1	0.00028162445198148475	0.1793245350393589
1	-0.1	0.21572949995231785	0.03648335642215877
1	0.1	0.21572949995231785	-0.03648335642215877
1	1	0.00028162445198148475	-0.1793245350393589
1	5	0.06705664944219385	0.004675021260887586
2	-5	0.022425786178834273	-0.005247685132883614
2	-1	0.009388161310484512	0.04446299414138549
2	-0.1	0.0483943400951661	0.006738628409458145
2	0.1	0.0483943400951661	-0.006738628409458145
2	1	0.009388161310484512	-0.04446299414138549
2	5	0.022425786178834273	0.005247685132883614
5	-5	0.0007266506660356389	-0.000471027801635222
5	-1	0.00043944980567568146	0.0010420331174450835
5	-0.1	0.0011402206493458088	0.0001344268163728352
5	0.1	0.0011402206493458088	-0.0001344268163728352
5	1	0.00043944980567568146	-0.0010420331174450835
5	5	0.0007266506660356389	0.000471027801635222
